IlmnID,Relation_to_UCSC_CpG_Island,CHR,Infinium_Design_Type
cg16649792,,5,II
cg25964517,Island,4,I
cg17526311,,7,II
cg10314411,,1,II
cg19148297,Island,11,I
cg01846046,N_Shore,11,I
cg23885502,,1,II
cg26012731,,X,I
cg25877179,Island,17,II
cg04591709,N_Shore,8,II
cg11057802,S_Shelf,11,II
cg17412405,Island,5,I
cg26510500,S_Shore,2,II
cg23026595,,19,II
cg05428452,,6,II
cg04834289,,6,II
cg01687997,N_Shore,7,II
cg05296869,S_Shore,17,II
cg01420492,N_Shelf,20,II
cg13252032,,X,II
cg18130079,,1,II
cg21514951,,15,II
cg02510736,Island,10,I
cg18026993,,21,II
cg23865187,S_Shore,15,II
cg05511196,,6,II
cg04586126,Island,5,I
cg11735846,N_Shore,1,II
cg15004949,Island,19,I
cg07880659,,20,II
cg17751228,,2,II
cg19651767,,7,II
cg19231170,Island,17,I
cg04758330,,2,II
cg01723252,N_Shore,7,II
cg04842787,,15,II
cg25235648,,15,II
cg13060624,S_Shore,1,II
cg23947919,,12,I
cg22193436,S_Shore,2,II
cg00621197,Island,21,II
cg12177942,Island,1,II
cg23222243,,6,II
cg16625007,,19,II
cg14616687,S_Shelf,20,II
cg20659485,S_Shore,5,II
cg10436473,,5,II
cg00135175,,5,II
cg02530095,,10,II
cg08909363,,11,II
cg24173616,,1,II
cg25443851,,5,I
cg11968091,Island,11,I
cg00323916,S_Shore,22,II
cg11009100,,10,II
cg02747703,,4,II
cg05666078,S_Shore,21,II
cg07104818,N_Shore,1,II
cg13793478,N_Shelf,9,II
cg02690159,Island,10,I
cg25481439,,2,II
cg24760717,Island,21,II
cg01992107,Island,6,I
cg13379851,Island,15,I
cg21380842,Island,21,II
cg12039595,,1,II
cg11856078,S_Shore,2,I
cg18949044,,4,II
cg11766129,,11,II
cg17484733,Island,2,II
cg23938892,,1,II
cg08657391,,7,II
cg00588047,,1,II
cg00602891,Island,17,II
cg08095423,,8,II
cg25995420,Island,14,I
cg23235067,,10,II
cg23283474,,11,I
cg03077789,N_Shore,5,II
cg12539787,,3,II
cg14514991,,1,II
cg15545739,Island,1,I
cg04680436,N_Shore,2,I
cg13323074,S_Shore,17,II
cg24500959,S_Shore,10,I
cg06557624,,6,II
cg04288036,S_Shore,11,II
cg08374741,,11,I
cg15705865,,2,II
cg12748638,N_Shelf,12,II
cg01232121,S_Shelf,8,II
cg07671420,,5,II
cg14003978,,9,II
cg09920145,N_Shore,3,II
cg01262913,,21,II
cg15070208,S_Shore,1,II
cg03392095,,1,II
cg17218342,S_Shore,21,II
cg22701938,,1,II
cg10051299,Island,14,I
cg18455208,,20,II
cg09368972,,21,I
cg00925717,N_Shore,16,II
cg12265609,,1,II
cg17668781,,11,II
cg05527459,N_Shore,1,II
cg21408915,Island,11,II
cg11798406,,21,II
cg25751266,Island,3,I
cg11579693,,10,II
cg00749199,,20,II
cg14491776,Island,5,I
cg19104360,,6,II
cg04700814,N_Shore,17,II
cg05794227,Island,16,I
cg18346273,,5,II
cg14087351,Island,7,II
cg22471742,Island,19,I
cg22819952,,14,II
cg08901307,,17,II
cg05194412,,2,II
cg19805311,Island,2,I
cg27661091,,10,II
cg15952216,Island,10,II
cg02570527,,1,I
cg23025942,,1,II
cg09063722,Island,7,I
cg15283028,Island,22,I
cg20655644,,15,II
cg25952247,Island,9,II
cg25400487,S_Shelf,1,II
cg10366786,N_Shore,4,I
cg22662829,,8,I
cg19605909,Island,X,I
cg01934674,,16,II
cg00102591,Island,13,II
cg10663442,,17,II
cg07612655,S_Shore,20,II
cg02431114,,8,II
cg22865299,Island,4,I
cg16490896,Island,11,I
cg03795874,Island,12,I
cg00425828,,4,II
cg11188799,Island,6,I
cg20438269,,21,II
cg09112723,,1,II
cg00084888,Island,10,I
cg02492410,,22,II
cg13155648,S_Shore,20,II
cg18154417,,1,II
cg22298860,N_Shore,6,II
cg15100209,,1,II
cg08800144,,20,II
cg24016056,Island,11,I
cg12015355,,12,II
cg03983883,N_Shore,8,II
cg07972046,,3,II
cg26053291,Island,2,I
cg18811860,,17,II
cg24034957,,12,I
cg01569664,N_Shore,13,I
cg11006676,S_Shelf,3,II
cg13232525,,12,II
cg13945556,N_Shore,3,II
cg01425763,,22,II
cg00852773,,16,II
cg12009827,,3,II
cg26124780,,2,II
cg18291698,,11,II
cg12406027,Island,19,II
cg08193650,Island,2,I
cg22448308,Island,15,I
cg23266594,Island,5,I
cg08670534,,12,II
cg11468635,,5,II
cg02993010,Island,8,II
cg05812452,N_Shore,4,II
cg17309077,Island,22,II
cg22239258,S_Shore,10,I
cg13673603,,11,II
cg18486235,N_Shore,1,II
cg26872137,Island,8,I
cg00174855,,10,II
cg04751511,,4,II
cg17837371,,12,II
cg07277756,Island,18,I
cg10108337,,X,II
cg21619825,,15,II
cg02079122,,1,II
cg03353971,N_Shore,17,II
cg15065561,N_Shore,19,II
cg13481974,Island,15,I
cg08055924,Island,4,I
cg25153852,,1,II
cg13448404,,15,II
cg11229871,S_Shelf,8,II
cg07821574,N_Shore,19,I
cg20581070,,6,II
cg03993550,,12,II
cg17137307,S_Shore,2,II
cg03912954,Island,9,II
cg11739508,,1,II
cg00679662,,2,II
cg23679767,,22,II
cg16551963,S_Shelf,1,II
cg17210999,,1,II
cg12588082,Island,19,I
cg13823403,,17,I
cg01845178,Island,16,II
cg09249998,,7,II
cg00382930,,16,I
cg01625368,Island,11,II
cg13212668,,20,II
cg19363607,N_Shelf,7,II
cg12786697,,18,II
cg13386839,N_Shore,1,II
cg02624129,Island,11,I
cg15538837,Island,1,II
cg24026226,,11,II
cg09752625,,20,II
cg24212302,,10,I
cg22551196,Island,12,I
cg17295556,,17,II
cg10134356,,1,II
cg03328369,,15,II
cg00872486,,17,II
cg18553354,N_Shore,12,I
cg23212838,Island,17,II
cg26317006,,2,I
cg26343358,N_Shore,6,II
cg21855135,S_Shore,22,I
cg01088863,S_Shore,10,II
cg07102302,Island,1,I
cg11206811,,5,I
cg12867876,,19,II
cg11413800,Island,19,I
cg02726739,,15,II
cg09322114,N_Shore,22,II
cg02189760,Island,19,II
cg14864365,Island,19,II
cg18196453,,6,II
cg16427753,,17,II
cg10544611,N_Shelf,16,II
cg05582160,,5,II
cg16505946,Island,6,II
cg23450649,,12,II
cg24245367,,8,II
cg01802653,Island,4,II
cg09149894,N_Shore,6,II
cg16371688,,1,II
cg12486635,,12,II
cg25188071,,20,II
cg03326689,Island,15,II
cg24804488,,8,II
cg02137872,,18,II
cg14491479,Island,8,I
cg00531463,S_Shore,17,II
cg24298107,,1,II
cg08163642,,20,II
cg15979146,,1,I
cg17922749,,16,II
cg07148651,,8,II
cg27298602,,19,II
cg01842146,,2,II
cg04872660,,6,II
cg23581009,Island,3,I
cg18614139,,14,II
cg10372372,Island,17,I
cg21367957,S_Shelf,13,II
cg24964318,Island,6,II
cg05392141,,7,II
cg12773394,N_Shore,4,I
cg08521639,,18,II
cg24048497,,6,II
cg09492330,N_Shelf,16,II
cg06608224,S_Shore,17,II
cg04309437,N_Shelf,2,II
cg04452437,,6,I
cg15558558,N_Shore,15,II
cg02587673,Island,7,II
cg19098493,Island,14,I
cg25433259,,6,II
cg18383680,N_Shore,1,II
cg10644647,,8,II
cg02710296,Island,1,I
cg14045140,Island,9,II
cg10012740,,3,II
cg16354091,,5,I
cg24467428,,11,II
cg12144905,N_Shelf,1,II
cg16993807,,15,II
cg17797074,,7,II
cg13651224,,17,II
cg24915371,Island,2,I
cg07430505,Island,19,I
cg19544996,,10,II
cg25903177,,11,II
cg13599549,,14,II
cg07086943,,9,II
cg19695225,Island,16,I
cg24888621,N_Shore,X,II
cg19214942,,13,II
cg24092000,,17,I
cg10526031,,3,II
cg15360169,,6,I
cg11739541,Island,12,I
cg00075019,Island,1,I
cg19779096,S_Shore,19,II
cg03127141,,4,II
cg05770171,,9,II
cg23726745,,3,II
cg14834082,N_Shelf,11,II
cg22914934,Island,11,I
cg02172637,,5,II
cg11574745,Island,6,II
cg07813265,S_Shore,1,II
cg25365404,Island,10,I
cg00325499,,X,II
cg09417539,,2,II
cg05880975,,10,II
cg26111107,,17,II
cg23583457,,3,II
cg20571119,,1,II
cg03014622,Island,22,II
cg17891486,S_Shelf,7,II
cg12626381,,7,II
cg27225997,,14,II
cg04960591,Island,9,II
cg08464557,,20,II
cg08787401,,2,II
cg01991383,Island,11,II
cg20851325,,X,II
cg11320259,,11,II
cg04486019,,6,II
cg26196700,Island,15,I
cg22014737,Island,8,I
cg00172330,Island,1,I
cg22975352,N_Shore,3,II
cg25479788,Island,2,I
cg01513086,S_Shelf,8,II
cg03152870,Island,18,II
cg11558654,Island,5,II
cg21567022,S_Shelf,11,II
cg15311873,,5,II
cg04711294,,1,II
cg09649245,N_Shore,11,I
cg06188746,S_Shore,7,II
cg04358214,Island,16,I
cg23016695,,4,II
cg14863074,S_Shore,15,I
cg05385260,N_Shore,11,II
cg20870000,,8,I
cg24375257,S_Shore,11,II
cg13547268,Island,1,I
cg03041027,Island,12,I
cg15929587,Island,14,I
cg14977496,,6,II
cg01079345,,7,II
cg01542452,,10,II
cg04006656,Island,15,I
cg17305035,,5,II
cg13474083,,9,II
cg17895236,Island,17,II
cg19591206,Island,3,I
cg15289253,,10,II
cg21604743,Island,X,I
cg21379885,N_Shore,17,II
cg11843188,Island,11,I
cg17762192,N_Shore,2,II
cg15908988,,9,II
cg17846194,Island,12,II
cg22374058,,11,I
cg14813741,,21,II
cg07161588,,3,II
cg04686114,Island,12,I
cg24989176,,13,II
cg20281573,S_Shore,5,II
cg04668521,,10,II
cg19306063,Island,10,I
cg05398769,N_Shelf,1,II
cg22864250,S_Shelf,12,II
cg09136786,,9,II
cg19747604,Island,19,I
cg03039335,,6,II
cg01003928,,10,II
cg04844120,N_Shore,22,II
cg07065217,Island,14,II
cg17422460,N_Shore,6,II
cg13531599,,20,II
cg20994481,,6,II
cg05803631,Island,1,I
cg08248297,S_Shelf,19,II
cg05215474,N_Shore,19,II
cg15949830,Island,17,I
cg24447371,,12,II
cg10330169,S_Shelf,2,II
cg24432968,,13,II
cg21474351,,3,II
cg11014875,,7,I
cg12936627,Island,21,I
cg19986295,,14,II
cg07915849,Island,16,II
cg25578048,S_Shelf,6,II
cg02966722,S_Shore,15,II
cg26877270,,5,II
cg02550231,Island,13,I
cg12513589,N_Shore,4,I
cg16898491,,1,II
cg02321845,,22,II
cg26486113,Island,19,II
cg05772555,,10,II
cg13168129,Island,19,I
cg04013448,,11,II
cg23872009,,7,II
cg13981572,,10,II
cg11995137,,15,II
cg01355876,Island,5,II
cg21634673,Island,1,II
cg25464140,,1,I
cg18142940,Island,1,I
cg12973549,,14,II
cg25555772,,11,II
cg10696445,N_Shore,11,II
cg00421693,N_Shelf,5,II
cg25080260,,3,II
cg06637938,S_Shore,14,I
cg00718527,,8,II
cg13200704,,17,II
cg14555811,N_Shore,5,II
cg19085165,,11,II
cg04898835,,2,II
cg14108711,Island,9,I
cg13572037,S_Shelf,14,II
cg27167439,S_Shore,1,II
cg23976431,,11,II
cg19546536,,5,II
cg08851810,,12,II
cg26483667,,11,II
cg00304947,,16,II
cg15198235,Island,1,I
cg07089161,,7,I
cg04376808,,3,II
cg03367519,Island,5,II
cg24997677,,4,II
cg14511259,,4,II
cg07310930,N_Shelf,3,II
cg05316555,Island,8,I
cg23990535,N_Shore,1,II
cg06517489,N_Shelf,11,II
cg15208638,,14,II
cg08162263,,9,II
cg02765820,,3,II
cg01006231,,12,II
cg10163136,,16,II
cg26802063,S_Shore,5,I
cg10962930,,5,II
cg17677042,,1,II
cg13419791,Island,3,I
cg10766103,Island,12,I
cg21916297,,16,II
cg20312457,,4,II
cg11025193,,18,II
cg02842889,Island,Y,I
cg14318180,,15,II
cg10603944,,14,I
cg19897251,Island,8,I
cg01683000,,8,II
cg06720569,,2,II
cg25257709,N_Shore,13,I
cg24609704,,8,II
cg23518257,Island,19,I
cg14415456,,12,II
cg21129253,,14,II
cg26549029,Island,12,I
cg00637744,,2,II
cg07158163,,10,II
cg14150252,S_Shore,2,II
cg11898486,Island,19,I
cg01109187,S_Shelf,2,II
cg04166393,Island,7,I
cg01968493,N_Shore,2,II
cg17075459,N_Shelf,2,II
cg00110785,N_Shore,7,II
cg11982081,,16,II
cg04144222,,1,II
cg14320036,,11,II
cg08983446,,1,II
cg17256555,Island,8,II
cg02985292,S_Shore,16,II
cg14880340,N_Shelf,17,II
cg18422603,S_Shore,3,II
cg16455471,,3,II
cg11926444,,3,I
cg24660073,,5,II
cg14929320,,15,II
cg06523030,,8,I
cg03044510,Island,21,I
cg27259100,,7,II
cg03582371,N_Shore,17,I
cg05845292,N_Shore,16,I
cg25950325,Island,4,I
cg03045721,Island,17,I
cg27561528,,11,I
cg14890446,S_Shore,22,II
cg26898127,S_Shore,11,II
cg04886662,N_Shelf,16,II
cg08299880,S_Shelf,5,II
cg00144550,Island,2,II
cg11466857,,20,II
cg23490289,S_Shore,19,II
cg08342791,,16,II
cg13553499,,1,II
cg08314751,,2,II
cg12648537,Island,8,I
cg08482978,Island,11,I
cg18160157,,11,II
cg06067885,,3,II
cg13028683,,10,II
cg03042870,Island,9,II
cg14240733,Island,9,I
cg13793687,,12,II
cg09215989,,4,II
cg14277925,S_Shore,11,I
cg07159871,N_Shore,20,I
cg12566403,,17,II
cg14360777,N_Shore,5,II
cg18683691,N_Shelf,22,II
cg24536114,,1,I
cg25549811,,8,II
cg08683731,,11,II
cg19375314,Island,8,I
cg24952959,Island,3,I
cg15383740,,8,II
cg15092772,,1,II
cg00393957,,6,II
cg02576247,N_Shore,1,II
cg20809991,N_Shore,2,II
cg23036452,,1,I
cg05406469,,1,II
cg07640752,,18,II
cg01662102,Island,21,II
cg06886080,,11,II
cg09120918,N_Shore,17,II
cg11029746,Island,15,I
cg18365027,,17,II
cg03448964,,2,II
cg02582514,Island,14,II
cg05177782,,X,II
cg11691038,,12,I
cg19230532,,3,II
cg24054938,Island,1,I
cg07048479,S_Shore,10,I
cg03044837,,1,II
cg19595239,,17,II
cg04369555,N_Shore,X,II
cg23467008,N_Shore,6,I
cg14509777,,3,II
cg02887497,S_Shelf,16,II
cg13750142,,2,II
cg01282150,,13,I
cg09572352,,15,II
cg09591072,Island,3,I
cg00028678,S_Shore,2,I
cg08039704,Island,17,I
cg04371950,S_Shelf,22,I
cg24703625,S_Shore,21,II
cg22782018,Island,4,II
cg06789194,,7,II
cg06797330,,2,II
cg24981196,,1,II
cg26093123,Island,13,II
cg17238334,,5,II
cg03070533,Island,22,I
cg15529130,,5,II
cg14814195,Island,6,II
cg11906176,Island,10,I
cg10620330,,1,II
cg16926095,,5,II
cg24754277,S_Shore,9,II
cg00808492,,1,II
cg15788625,,19,II
cg16967068,,15,II
cg10741153,Island,19,I
cg06545409,,11,II
cg08066675,S_Shore,3,II
cg21746222,Island,17,I
cg18755191,Island,17,I
cg20681321,,10,II
cg24569624,N_Shore,11,I
cg08162092,,5,II
cg16294641,,1,II
cg09369124,Island,16,I
cg13524307,,19,II
cg20716100,N_Shelf,20,I
cg18903099,,18,II
cg16525709,,1,II
cg08847738,N_Shore,16,II
cg05322222,N_Shore,11,II
cg07946732,Island,9,I
cg13132027,Island,3,I
cg18695427,,17,I
cg16384429,,7,II
cg06813597,S_Shore,1,II
cg19846342,Island,16,I
cg00739066,,4,II
cg06611810,Island,19,I
cg08859278,,2,II
cg20148084,,12,II
cg25739259,Island,15,I
cg21112220,,7,II
cg12201498,Island,5,I
cg14598373,Island,2,I
cg18623476,N_Shelf,6,II
cg09902029,Island,2,II
cg20431024,Island,12,I
cg16215310,,11,II
cg20636249,N_Shore,13,II
cg14753458,N_Shelf,3,I
cg10710457,N_Shelf,10,II
cg24666276,Island,8,I
cg25757820,N_Shelf,2,II
cg12104982,N_Shore,19,I
cg25846372,,21,II
cg19912197,,17,II
cg26552641,,17,II
cg03761905,,21,II
cg00617975,N_Shore,22,II
cg13968182,Island,19,I
cg06867876,,2,II
cg09427959,,12,II
cg19207295,N_Shore,3,II
cg08547534,,10,II
cg01022012,N_Shore,2,II
cg04062576,,12,II
cg20923676,S_Shelf,2,I
cg06554141,,1,II
cg17988182,,1,II
cg08525835,,18,II
cg07244547,,15,II
cg26084511,Island,7,II
cg14106119,N_Shore,22,I
cg15482690,Island,1,I
cg11010122,S_Shore,4,II
cg26435773,,6,II
cg12826529,,15,II
cg19791728,,17,II
cg04217084,,5,II
cg26652569,,3,II
cg18542613,,13,II
cg02900740,S_Shelf,11,II
cg07603357,S_Shelf,19,I
cg04354845,,9,II
cg08210814,,1,II
cg00012701,Island,6,I
cg03442564,,16,I
cg16169732,,4,I
cg15612847,N_Shore,2,II
cg26085663,,2,II
cg19189115,,7,II
cg25928603,Island,2,I
cg12179826,Island,9,II
cg14785392,,5,II
cg00462700,S_Shelf,10,II
cg05059458,Island,13,I
cg15202038,,14,II
cg10673740,Island,10,II
cg04231085,,16,I
cg03585323,N_Shelf,19,II
cg11968680,,7,II
cg21276056,Island,19,II
cg05189804,N_Shore,11,II
cg15678678,,11,II
cg23983340,Island,1,II
cg03289833,,15,II
cg26660414,,14,II
cg08784464,Island,7,II
cg10101975,S_Shore,3,II
cg25574849,N_Shelf,11,II
cg10498926,N_Shore,2,II
cg00792783,Island,2,I
cg15057250,,1,II
cg01471196,Island,20,I
cg07068554,,7,II
cg09192059,S_Shore,X,I
cg09103423,,6,II
cg24954668,N_Shelf,7,I
cg01502588,N_Shore,2,II
cg20972966,,2,II
cg22499348,,7,II
cg20295105,Island,12,II
cg20326622,S_Shore,7,I
cg18503080,,11,II
cg06631912,,17,II
cg01496970,N_Shore,7,II
cg12019980,Island,19,I
cg14759472,,7,I
cg09394488,,13,II
cg04381006,Island,10,I
cg04701628,S_Shelf,16,I
cg00597982,,15,II
cg12194939,S_Shelf,3,II
cg25542337,N_Shore,7,I
cg15843675,N_Shore,16,I
cg21769463,,7,II
cg27033754,Island,1,I
cg03291265,,8,II
cg01900030,,7,II
cg21551951,,12,II
cg09248044,N_Shore,7,II
cg07716603,N_Shore,3,II
cg02959551,N_Shore,6,II
cg21565823,Island,17,I
cg25083463,Island,9,II
cg07899389,,1,II
cg22582875,N_Shore,17,II
cg04563870,,11,II
cg11817650,,14,II
cg06159375,,13,II
cg16579225,Island,1,II
cg05103917,S_Shore,4,II
cg05292159,Island,10,I
cg18331909,N_Shelf,7,II
cg23808931,Island,1,I
cg17374534,Island,3,I
cg20745272,,9,II
cg08525483,,21,II
cg26055054,N_Shore,X,II
cg24980367,Island,3,II
cg09969462,N_Shelf,17,II
cg14408262,S_Shelf,14,II
cg27476859,N_Shore,7,II
cg14561934,N_Shore,10,II
cg15110079,,7,II
cg12736384,,7,II
cg24283027,S_Shelf,11,I
cg12218359,,22,II
cg06801994,,13,I
cg06255741,S_Shore,16,I
cg11223816,Island,4,II
cg13335388,S_Shore,6,II
cg15912031,,10,II
cg14473485,,6,II
cg07574908,,12,II
cg07611279,,6,II
cg03853587,N_Shore,1,II
cg06612450,N_Shore,19,II
cg19430897,S_Shore,6,II
cg04575263,Island,1,I
cg09421589,N_Shore,7,II
cg12554051,,12,I
