IlmnID,Infinium_Design_Type,CHR,MAPINFO,Relation_to_UCSC_CpG_Island
cg02802508,II,Y,9214477,N_Shore
cg02839557,I,Y,6778641,Island
cg02842889,I,Y,2803127,Island
cg02884332,II,Y,22737946,Island
cg03052502,I,Y,9193029,N_Shore
cg03055837,II,Y,16634126,N_Shore
cg03123709,II,Y,15817871,S_Shelf
cg03155755,I,Y,9385861,S_Shore
cg03244189,I,Y,21238472,Island
cg03258315,II,Y,14077975,Island
cg03266527,II,Y,15591101,N_Shore
cg03278611,II,Y,16941591,N_Shore
cg03359666,II,Y,13332435,S_Shelf
cg03416979,II,Y,23566288,N_Shore
cg03430010,II,Y,15591607,Island
cg03441493,II,Y,14074417,Island
cg03443143,I,Y,9363365,N_Shore
cg03515816,II,Y,9745295,N_Shore
cg03515901,II,Y,3447157,
cg03533500,II,Y,21668420,S_Shelf
cg03535417,II,Y,9302758,Island
cg03601053,II,Y,15016101,N_Shore
cg03672679,II,Y,17567897,Island
cg03683899,I,Y,2803070,Island
cg03695421,I,Y,14074773,Island
cg03706273,I,Y,16635745,Island
cg03750315,I,Y,22737896,Island
cg03767353,I,Y,2658057,Island
cg03769088,II,Y,8120126,
cg03827298,II,Y,24454927,Island
cg03905640,II,Y,19625308,
cg03930849,II,Y,26716289,
cg04016144,I,Y,9215053,N_Shore
cg04021548,II,Y,16634027,N_Shore
cg04023335,I,Y,14100573,Island
cg04042030,I,Y,6778623,Island
cg04123665,II,Y,6131007,N_Shelf
cg04169747,II,Y,2655740,N_Shelf
cg04170994,II,Y,20488293,Island
cg04193779,II,Y,9170562,N_Shelf
cg04303809,I,Y,14649201,Island
cg04351468,II,Y,9158941,
cg04419680,II,Y,16637061,S_Shore
cg04448376,I,Y,15591617,Island
cg04462340,I,Y,13911503,S_Shore
cg04477336,II,Y,3447814,
cg04493908,II,Y,7426653,N_Shore
cg04559508,II,Y,9387798,S_Shelf
cg04576441,II,Y,15866837,S_Shelf
cg04689676,I,Y,7142046,Island
cg04691144,II,Y,16634373,N_Shore
cg04790916,II,Y,15591260,Island
cg04792227,I,Y,17568097,Island
cg04817258,II,Y,6117321,S_Shelf
cg04831594,II,Y,8501021,
cg04840163,I,Y,2804320,S_Shore
cg04864270,II,Y,13477005,N_Shore
cg04958669,II,Y,9342990,N_Shore
cg04964672,I,Y,7428198,Island
cg05051262,II,Y,23566572,Island
cg05098815,II,Y,9449618,
cg05128824,II,Y,15015176,N_Shore
cg05163709,II,Y,7141248,N_Shore
cg05202434,II,Y,8571846,
cg05213048,I,Y,14100276,Island
cg05230942,I,Y,21155270,S_Shore
cg05367916,II,Y,6172783,N_Shore
cg05378695,II,Y,9528418,
cg05408674,II,Y,6136711,S_Shore
cg05480730,I,Y,7142073,Island
cg05530472,II,Y,6742689,
cg05544622,I,Y,9303646,Island
cg05557315,II,Y,9476544,N_Shore
cg05608794,II,Y,14649668,Island
cg05618150,II,Y,7140718,N_Shore
cg05621349,I,Y,21729069,N_Shore
cg05672930,II,Y,21729555,Island
cg05678960,II,Y,6133838,Island
cg05725925,II,Y,21729058,N_Shore
cg05782707,II,Y,9641402,
cg05865243,I,Y,6114255,Island
cg05890011,I,Y,14774195,
cg05939513,II,Y,16942232,S_Shore
cg05940236,II,Y,15017297,Island
cg05954446,II,Y,6738929,
cg05964935,II,Y,13462412,N_Shore
cg05999368,II,Y,24044078,S_Shelf
cg06060201,II,Y,20488280,Island
cg06065495,II,Y,21666309,S_Shore
cg06231362,II,Y,21726406,N_Shelf
cg06237805,II,Y,8147958,Island
cg06247034,II,Y,16634255,N_Shore
cg06322277,I,Y,22917937,
cg06479204,I,Y,15591533,Island
cg06502680,II,Y,21728952,N_Shore
cg06558765,II,Y,2803610,Island
cg06576965,II,Y,8551551,
cg06587955,II,Y,9368165,S_Shelf
cg06628792,II,Y,21240004,Island
cg06636270,II,Y,9173300,N_Shore
cg06855731,II,Y,9931079,S_Shore
cg06865724,II,Y,24445690,
cg07456370,II,Y,15863486,Island
cg07607525,II,Y,7142752,Island
cg07728631,II,Y,14100068,Island
cg07731488,I,Y,21729314,Island
cg07747963,I,Y,22917087,
cg07765982,II,Y,6263841,
cg07795413,II,Y,16733930,
cg07851521,II,Y,6113261,N_Shore
cg07939587,I,Y,2657936,Island
cg07950979,II,Y,15451782,
cg08045599,II,Y,7140572,N_Shore
cg08053115,II,Y,9605072,
cg08160949,II,Y,8150875,S_Shelf
cg08242338,I,Y,6114379,Island
cg08258654,II,Y,9237650,S_Shore
cg08265308,I,Y,28555550,Island
cg08314875,II,Y,15015601,N_Shore
cg08357313,II,Y,9161051,
cg08455548,II,Y,4867968,Island
cg08528516,II,Y,15015995,N_Shore
cg08593141,II,Y,15866447,S_Shore
cg08596608,II,Y,14533505,Island
cg08635406,II,Y,9214483,N_Shore
cg08673225,II,Y,2708972,
cg08680991,II,Y,6131963,N_Shore
cg08702825,II,Y,8148094,Island
cg08715207,II,Y,22737969,Island
cg08739478,II,Y,8145779,N_Shelf
cg08816194,II,Y,16733442,
cg08820785,II,Y,22738029,Island
cg08921682,I,Y,6891543,
cg09081202,II,Y,22735320,N_Shelf
cg09093035,II,Y,14074689,Island
cg09197443,II,Y,14107195,Island
cg09223632,II,Y,10033460,Island
cg09228985,II,Y,21666078,S_Shore
cg09230658,II,Y,14081314,S_Shelf
cg09300505,II,Y,16942154,Island
cg09350919,I,Y,9365070,N_Shore
cg09408193,II,Y,20501241,S_Shore
cg09460641,I,Y,9385586,Island
cg09546548,II,Y,7141818,Island
cg09595415,II,Y,2655942,N_Shore
cg09703571,II,Y,4867908,N_Shore
cg09728865,II,Y,6780027,Island
cg09730640,II,Y,14533708,S_Shore
cg09732580,II,Y,15012764,N_Shelf
cg09748856,II,Y,16636697,Island
cg09804407,II,Y,16733251,
cg09829904,II,Y,2823782,
cg09856092,I,Y,15016590,Island
cg09898573,II,Y,14100824,S_Shore
cg10051237,II,Y,14074025,N_Shore
cg10067523,II,Y,8681688,
cg10076560,I,Y,21729144,Island
cg10172760,II,Y,22736833,N_Shore
cg10213302,I,Y,2802975,Island
cg10239257,II,Y,9366496,S_Shore
cg10252249,I,Y,20508275,Island
cg10267609,I,Y,24453757,N_Shore
cg10338539,II,Y,2655977,N_Shore
cg10363397,I,Y,15864778,Island
cg10422744,II,Y,16632438,N_Shelf
cg10465579,II,Y,4867963,Island
cg10557773,II,Y,2801877,N_Shore
cg10593480,II,Y,22738771,S_Shore
cg10620659,II,Y,22737391,N_Shore
cg10646950,II,Y,20748782,
cg10666546,II,Y,23566863,Island
cg10691859,II,Y,21041339,
cg10698069,I,Y,15016598,Island
cg10799208,II,Y,22681436,
cg10811597,II,Y,21239219,Island
cg10835413,II,Y,10035202,N_Shore
cg10841270,I,Y,22917104,
cg10959847,II,Y,9707927,S_Shore
cg10990737,II,Y,16637142,S_Shore
cg11021362,II,Y,23756676,
cg11131351,I,Y,2802287,N_Shore
cg11225091,II,Y,22737663,N_Shore
cg11684211,II,Y,21239607,Island
cg11816202,II,Y,21239332,Island
cg11898347,II,Y,2655866,N_Shore
cg12456573,II,Y,6134650,Island
cg13252613,II,Y,9747748,S_Shore
cg13268984,I,Y,15863367,Island
cg13308744,II,Y,22736584,N_Shore
cg13365400,II,Y,27210334,
cg13419214,II,Y,6341961,
cg13618458,II,Y,6775803,N_Shelf
cg13654344,II,Y,2654978,N_Shelf
cg13765957,II,Y,21208621,
cg13805219,II,Y,6137453,S_Shelf
cg13808036,II,Y,24453658,N_Shore
cg13845521,II,Y,21238886,Island
cg13851368,I,Y,14074873,Island
cg13861458,II,Y,9304971,Island
cg13884608,II,Y,5608629,
cg14005657,II,Y,9365108,N_Shore
cg14029254,II,Y,22918261,
cg14133106,II,Y,14652924,S_Shelf
cg14151065,II,Y,19678535,N_Shore
cg14157445,II,Y,14774019,
cg14170959,II,Y,2802217,N_Shore
cg14180491,I,Y,15016705,Island
cg14210405,I,Y,9930240,Island
cg14248084,II,Y,14076009,Island
cg14273923,II,Y,28555912,Island
cg14303457,II,Y,14537211,S_Shelf
cg14442616,II,Y,15031167,
cg14463736,II,Y,15817372,S_Shore
cg14466580,I,Y,10037020,Island
cg14467015,II,Y,23757241,
cg14492024,II,Y,21729049,N_Shore
cg14526044,II,Y,2802103,N_Shore
cg14671357,II,Y,7676811,
cg14720093,II,Y,10033382,Island
cg14741114,I,Y,14774198,
cg14742615,II,Y,17569363,S_Shore
cg14778208,II,Y,7569246,
cg14931215,II,Y,21867702,
cg14933403,II,Y,7146170,S_Shelf
cg14972466,II,Y,2802332,N_Shore
cg15027426,I,Y,21664604,Island
cg15059553,II,Y,22737505,N_Shore
cg15183843,II,Y,14529720,N_Shelf
cg15197499,II,Y,6778939,Island
cg15273954,II,Y,14773684,
cg15281205,II,Y,21100472,
cg15295597,I,Y,4868368,Island
cg15329860,I,Y,21906636,
cg15345074,I,Y,21239461,Island
cg15422579,I,Y,22737424,N_Shore
cg15429127,I,Y,15016579,Island
cg15431336,II,Y,4872931,S_Shore
cg15462332,II,Y,24052532,
cg15516537,II,Y,24036882,N_Shelf
cg15563434,I,Y,2657879,Island
cg15662272,II,Y,21906974,
cg15682806,I,Y,9747821,S_Shore
cg15682993,I,Y,21729251,Island
cg15700967,II,Y,6954228,
cg15746461,I,Y,14774193,
cg15758480,II,Y,13914013,S_Shelf
cg15781156,II,Y,7569967,
cg15794778,II,Y,21665021,Island
cg15810474,I,Y,9306450,S_Shore
cg15849038,II,Y,6172428,N_Shore
cg15935877,I,Y,9303715,Island
cg16292375,II,Y,19691502,Island
cg16552926,II,Y,23694891,N_Shore
cg16626452,II,Y,9195514,Island
cg16894943,II,Y,20488269,Island
cg17115812,II,Y,19678528,N_Shore
cg17430262,II,Y,14649051,Island
cg17560699,II,Y,15593045,S_Shore
cg17651935,II,Y,14078666,S_Shore
cg17660627,II,Y,21729665,S_Shore
cg17741448,II,Y,22917782,
cg17769199,II,Y,9193058,N_Shore
cg17812515,II,Y,15863901,Island
cg17816615,II,Y,15019332,S_Shelf
cg17834650,I,Y,9214205,N_Shore
cg17837162,I,Y,9340946,N_Shelf
cg17913570,II,Y,9382523,N_Shelf
cg17939569,II,Y,27009430,
cg17972491,II,Y,6742726,
cg18032798,I,Y,15816361,S_Shore
cg18058072,II,Y,2807288,S_Shelf
cg18077436,I,Y,15016622,Island
cg18085787,II,Y,14646665,N_Shelf
cg18113731,II,Y,16636984,Island
cg18163559,II,Y,9742930,N_Shelf
cg18168924,II,Y,7177888,
cg18188392,I,Y,14649262,Island
cg19244032,II,Y,16636990,Island
cg20106158,II,Y,6388486,Island
cg20256738,II,Y,6114404,Island
cg20401549,II,Y,7141681,Island
cg20474581,II,Y,14812997,
cg20764275,II,Y,17568616,Island
cg20864678,II,Y,21729037,N_Shore
cg21106100,II,Y,28555536,Island
cg22051787,II,Y,24549725,S_Shore
cg22509014,II,Y,9172448,N_Shore
cg23308414,II,Y,20508362,Island
cg23834181,II,Y,17567486,N_Shore
cg24016855,II,Y,9194584,Island
cg24183504,II,Y,9384015,N_Shore
cg24393100,II,Y,9745653,Island
cg24837623,II,Y,2802900,N_Shore
cg25012987,II,Y,19691491,Island
cg25032547,I,Y,14773536,
cg25059696,II,Y,7431190,S_Shelf
cg25071634,I,Y,9172441,N_Shore
cg25363292,II,Y,13472366,S_Shore
cg25427172,I,Y,23566730,Island
cg25443613,II,Y,2709605,
cg25518695,I,Y,16636258,N_Shore
cg25538674,II,Y,9197029,S_Shore
cg25640065,II,Y,23569324,S_Shelf
cg25667057,II,Y,17567474,N_Shore
cg25704368,II,Y,9173280,N_Shore
cg25705492,I,Y,9307448,S_Shelf
cg25756647,I,Y,21728575,N_Shore
cg25815185,II,Y,21906868,
cg25914522,II,Y,24452543,N_Shelf
cg25918849,II,Y,23753332,
cg26046487,II,Y,20736147,
cg26058907,I,Y,22917942,
cg26198148,II,Y,15814685,N_Shore
cg26251715,II,Y,21236229,N_Shelf
cg26475999,II,Y,9344960,Island
cg26488634,II,Y,14108207,S_Shore
cg26497631,II,Y,24331358,S_Shelf
cg26517491,I,Y,21906943,
cg26520468,I,Y,14099742,N_Shore
cg26928789,II,Y,22682393,
cg26983430,I,Y,24549675,Island
cg26983535,I,Y,22737594,N_Shore
cg27049643,I,Y,21906893,
cg27214488,II,Y,16635501,N_Shore
cg27248959,II,Y,10035199,N_Shore
cg27254225,II,Y,15811945,N_Shelf
cg27265812,II,Y,16634594,N_Shore
cg27325772,II,Y,9178472,S_Shelf
cg27355713,II,Y,6778543,N_Shore
cg27402302,II,Y,13589640,S_Shelf
cg27433982,I,Y,2802985,Island
cg27443332,II,Y,16634795,N_Shore
cg27509967,II,Y,21877683,
cg27539833,I,Y,3447947,
cg27545697,II,Y,10037049,Island
cg27578568,II,Y,8572427,
cg27611726,II,Y,6783873,S_Shelf
cg27636129,II,Y,2655927,N_Shore
cg00005617,II,X,68059898,N_Shore
cg00006815,II,X,103810908,N_Shore
cg00008932,II,X,71498597,S_Shore
cg00008945,I,X,80377379,
cg00011200,I,X,48380234,Island
cg00011891,I,X,153714660,Island
cg00012395,II,X,129472061,N_Shore
cg00014152,I,X,48457128,Island
cg00016522,I,X,149737876,S_Shore
cg00016934,I,X,40035961,Island
cg00018204,II,X,151128776,
cg00018261,I,X,117957689,Island
cg00021786,I,X,31090306,Island
cg00023415,II,X,48435152,S_Shore
cg00026186,I,X,48367230,Island
cg00027454,II,X,46740285,
cg00029931,II,X,100645741,N_Shore
cg00030125,II,X,125299403,Island
cg00031235,II,X,49124819,N_Shore
cg00032666,II,X,149613398,
cg00034639,II,X,138529221,Island
cg00034731,II,X,68348071,N_Shore
cg00037117,II,X,44730718,N_Shore
cg00040419,II,X,13670660,N_Shore
cg00040455,II,X,30326676,Island
cg00040923,II,X,100806880,N_Shore
cg00046099,II,X,54556443,Island
cg00051952,II,X,153605299,N_Shore
cg00060882,II,X,24072811,Island
cg00070542,II,X,79830095,Island
cg00072288,I,X,153200492,Island
cg00072587,II,X,19531567,N_Shore
cg00072799,II,X,78427682,
cg00072839,I,X,91035267,N_Shore
cg00074638,I,X,2883307,
cg00078867,II,X,48542398,
cg00098732,II,X,132096915,
cg00108056,II,X,153627317,Island
cg00108737,II,X,117628241,N_Shore
cg00111239,II,X,71238329,Island
cg00112256,I,X,117629928,Island
cg00113623,II,X,153640221,Island
cg00114625,I,X,24483478,Island
cg00114913,I,X,118107540,Island
cg00115511,II,X,46404799,Island
cg00116265,II,X,46306111,N_Shore
cg00116709,I,X,49020091,Island
cg00117066,II,X,16140434,
cg00117663,II,X,35816347,
cg00120172,II,X,77042539,S_Shore
cg00121904,II,X,43741826,Island
cg00123001,II,X,13395880,N_Shore
cg00124708,II,X,100877463,
cg00126657,II,X,47967250,
cg00126698,II,X,100640503,
cg00128197,II,X,53461455,Island
cg00130498,II,X,129192712,N_Shore
cg00136787,II,X,153704948,N_Shore
cg00139317,I,X,24665544,
cg00139547,II,X,119603329,
cg00140085,I,X,152954284,
cg00140189,II,X,10128888,S_Shelf
cg00141845,II,X,74493352,
cg00142683,I,X,118708623,Island
cg00145348,II,X,55026862,Island
cg00147819,II,X,70349036,
cg00148031,II,X,25021725,Island
cg00148587,II,X,49642080,N_Shore
cg00150363,II,X,107068750,N_Shore
cg00150874,II,X,40003284,N_Shore
cg00151234,II,X,77359363,Island
cg00156802,II,X,19358457,N_Shelf
cg00157034,II,X,151903752,
cg00158454,II,X,136509526,Island
cg00168417,II,X,118285788,S_Shore
cg00170369,II,X,47481995,N_Shore
cg00173270,II,X,106691272,N_Shore
cg00177456,II,X,152927170,N_Shore
cg00179446,II,X,118986947,Island
cg00179598,II,X,38078359,N_Shore
cg00180631,II,X,149736640,N_Shore
cg00188257,II,X,34677877,S_Shelf
cg00188409,II,X,139592612,N_Shore
cg00188971,II,X,48343409,
cg00190642,II,X,103268431,Island
cg00191052,II,X,46432770,N_Shore
cg00191758,II,X,55478814,
cg00191903,II,X,105451070,
cg00192980,I,X,77394971,Island
cg00194519,II,X,133679545,N_Shore
cg00194585,II,X,131154158,N_Shelf
cg00195237,II,X,68722118,N_Shore
cg00200463,I,X,67913573,Island
cg00202711,II,X,113818410,N_Shore
cg00203568,II,X,135850876,S_Shore
cg00203804,II,X,40691438,N_Shore
cg00205905,II,X,37208111,N_Shore
cg00206332,II,X,151140984,N_Shore
cg00206414,I,X,39949510,Island
cg00207916,II,X,152666651,Island
cg00213805,II,X,129300008,Island
cg00213853,II,X,154034091,S_Shore
cg00213957,II,X,69509697,Island
cg00216997,II,X,48980153,Island
cg00221961,II,X,15755566,N_Shore
cg00224026,II,X,134305728,
cg00227584,II,X,53123426,Island
cg00228620,II,X,152782399,N_Shore
cg00230685,II,X,17755839,Island
cg00231549,II,X,33744176,N_Shore
cg00235887,II,X,9430465,N_Shelf
cg00238052,II,X,101380291,
cg00238131,II,X,71527298,Island
cg00240113,I,X,136648241,Island
cg00241051,II,X,131262001,
cg00241296,I,X,103811315,N_Shore
cg00241907,I,X,12993156,Island
cg00242233,II,X,62954565,
cg00243584,I,X,119022103,
cg00243747,II,X,100523724,
cg00245012,II,X,57148068,S_Shore
cg00250879,II,X,135847852,N_Shore
cg00253811,II,X,15353923,Island
cg00255219,II,X,135991858,Island
cg00256358,II,X,129519536,
cg00258480,II,X,48776587,Island
cg00260448,II,X,30907780,S_Shore
cg00261039,II,X,40006123,Island
cg00263759,II,X,153245522,N_Shore
cg00264378,I,X,49687306,Island
cg00265812,I,X,47518579,Island
cg00266918,I,X,17755541,Island
cg00267352,II,X,149613734,
cg00267883,II,X,129111502,N_Shelf
cg00271516,II,X,48658022,N_Shore
cg00272286,II,X,100224722,
cg00276426,II,X,106243545,Island
cg00279529,II,X,153523467,N_Shore
cg00279797,II,X,109561918,S_Shore
cg00290944,II,X,55101346,
cg00291164,II,X,128939277,
cg00291222,II,X,100910662,
cg00291929,II,X,70129657,
cg00292305,II,X,135729978,
cg00295573,II,X,149009554,
cg00303108,II,X,106360881,N_Shore
cg00304884,II,X,134569362,N_Shore
cg00321056,II,X,53311582,
cg00323457,II,X,17879951,S_Shore
cg00328965,II,X,129243062,N_Shore
cg00329040,II,X,12600990,N_Shore
cg00331433,II,X,16737800,Island
cg00337921,II,X,129091288,Island
cg00347850,II,X,46696907,Island
cg00348113,II,X,70149293,N_Shore
cg00349460,II,X,153031002,N_Shore
cg00355945,II,X,11129241,N_Shore
cg00357087,II,X,119738550,
cg00358459,II,X,102945549,S_Shelf
cg00359973,II,X,53449900,S_Shore
cg00360298,II,X,49779544,
cg00360365,I,X,54556536,Island
cg00363318,II,X,74743636,S_Shore
cg00366674,II,X,49686431,N_Shore
cg00368230,II,X,152865160,Island
cg00369058,II,X,62972602,N_Shelf
cg00369477,II,X,113818635,Island
cg00370296,II,X,134306695,
cg00373606,I,X,68048660,Island
cg00374088,I,X,68758562,Island
cg00374346,II,X,71349037,N_Shore
cg00375105,II,X,153625785,N_Shore
cg00378473,II,X,23764087,S_Shelf
cg00378717,I,X,20160007,Island
cg00378950,I,X,89177498,
cg00379371,II,X,48774742,N_Shore
cg00379799,II,X,12154656,N_Shore
cg00379983,II,X,129042628,S_Shelf
cg00380985,I,X,101397146,N_Shore
cg00381376,I,X,53350680,S_Shore
cg00382651,II,X,102941915,N_Shore
cg00387056,II,X,135332628,N_Shore
cg00387940,II,X,149742400,
cg00388637,I,X,153653174,N_Shelf
cg00389276,II,X,13062862,
cg00389552,II,X,40028487,N_Shore
cg00389918,II,X,70589283,S_Shelf
cg00390049,II,X,153082274,N_Shelf
cg00391044,I,X,136510091,N_Shore
cg00391379,II,X,9866388,S_Shelf
cg00399450,I,X,73834086,Island
cg00400665,II,X,68369933,Island
cg00400999,II,X,101410998,
cg00401265,II,X,78003113,
cg00402910,II,X,109561221,Island
cg00403724,II,X,99839289,
cg00404599,II,X,107018431,N_Shore
cg00406460,II,X,47433415,Island
cg00408231,I,X,100807848,Island
cg00409000,II,X,17395816,Island
cg00409480,II,X,38115655,S_Shore
cg00411843,II,X,139584448,N_Shore
cg00412010,I,X,110339837,S_Shore
cg00412368,I,X,138285393,Island
cg00412554,II,X,117107719,
cg00416689,I,X,102631887,Island
cg00419390,II,X,57024196,S_Shelf
cg00419509,II,X,142804014,
cg00420018,II,X,74962543,
cg00420717,II,X,69663586,N_Shore
cg00422452,II,X,128872061,
cg00423014,I,X,114252499,
cg00426668,II,X,110514231,
cg00427681,I,X,68441389,Island
cg00428012,II,X,77166217,Island
cg00428314,II,X,118708830,Island
cg00431602,II,X,23799775,N_Shore
cg00433220,II,X,46697120,S_Shore
cg00433890,II,X,20280171,N_Shelf
cg00434413,II,X,153201653,S_Shore
cg00451631,II,X,25021643,Island
cg00452819,II,X,2847503,Island
cg00455738,II,X,103498075,N_Shore
cg00456723,II,X,9858993,S_Shore
cg00457389,I,X,18372736,Island
cg00458505,I,X,17393449,Island
cg00459767,II,X,20157965,N_Shore
cg00466309,I,X,148622572,Island
cg00466819,II,X,20009661,S_Shore
cg00467547,II,X,123480594,
cg00467854,II,X,25040358,N_Shore
cg00473051,II,X,39949232,N_Shore
cg00473354,I,X,48334413,Island
cg00478198,I,X,49644500,Island
cg00479885,II,X,134185269,N_Shore
cg00481999,II,X,47696603,S_Shore
cg00484111,II,X,41112620,N_Shore
cg00484940,II,X,85403143,Island
cg00488364,II,X,114253315,
cg00489811,II,X,136627602,N_Shore
cg00491350,II,X,45015865,N_Shore
cg00497084,II,X,18709116,
cg00510327,II,X,73835412,S_Shore
cg00514746,II,X,37350627,N_Shore
cg00517765,II,X,18707777,
cg00523465,II,X,134156667,S_Shore
cg00524424,II,X,49089903,N_Shore
cg00525383,II,X,136647793,Island
cg00529027,I,X,151806225,N_Shore
cg00531965,II,X,6451812,
cg00536175,II,X,48645024,
cg00538420,II,X,107979988,Island
cg00543604,II,X,13397493,Island
cg00547789,II,X,154493750,Island
cg00550141,II,X,24666268,
cg00551957,I,X,45017137,Island
cg00553200,II,X,153210234,
cg00554969,I,X,79278012,
cg00570097,II,X,118012313,N_Shore
cg00571700,II,X,152940274,S_Shore
cg00572146,II,X,65042096,Island
cg00573298,I,X,40594678,Island
cg00574800,II,X,103495623,S_Shore
cg00575851,I,X,134232238,N_Shore
cg00577623,II,X,57934090,N_Shore
cg00578645,II,X,139012736,N_Shore
cg00581583,II,X,49047791,N_Shore
cg00582864,II,X,49779175,
cg00583618,I,X,49020114,Island
cg00583858,II,X,135632947,
cg00584971,II,X,99665588,N_Shore
cg00586014,II,X,47248289,
cg00586321,II,X,73759065,S_Shelf
cg00588456,II,X,150250164,N_Shore
cg00592494,II,X,75249222,N_Shore
cg00594844,II,X,77037960,N_Shelf
cg00595610,II,X,9000352,
cg00595697,II,X,13339472,
cg00596686,II,X,7137332,
cg00597858,II,X,51636568,N_Shore
cg00598664,I,X,152938750,Island
cg00600110,II,X,8769528,Island
cg00603890,II,X,118699184,
cg00604086,II,X,67718648,Island
cg00606069,II,X,22266117,
cg00607036,II,X,119005506,Island
cg00608151,II,X,90689946,Island
cg00609239,II,X,101853885,N_Shore
cg00611101,I,X,101380608,
cg00612628,II,X,48454041,N_Shore
cg00614938,II,X,108717536,
cg00615010,II,X,103809062,N_Shore
cg00615738,II,X,40012582,Island
cg00615794,II,X,102943966,S_Shore
cg00618396,II,X,154444551,
cg00619443,I,X,110039536,S_Shore
cg00620602,II,X,152162559,Island
cg00621925,I,X,152989492,Island
cg00622384,I,X,118925635,Island
cg00622389,I,X,100914950,
cg00623388,II,X,129116224,Island
cg00625743,II,X,132353139,
cg00625841,II,X,134156624,S_Shore
cg00627024,II,X,23925866,Island
cg00632130,II,X,47931806,S_Shore
cg00632374,II,X,46432929,N_Shore
cg00634642,II,X,129040194,S_Shore
cg00636562,I,X,47518136,Island
cg00641092,II,X,153151929,Island
cg00644637,II,X,113624155,N_Shore
cg00645049,I,X,153656930,Island
cg00646140,II,X,2847561,S_Shore
cg00646659,II,X,48776613,Island
cg00648125,II,X,51075046,N_Shore
cg00650640,I,X,13587678,Island
cg00651446,II,X,101380386,
cg00658396,II,X,3630619,Island
cg00661180,I,X,31285029,S_Shore
cg00666173,I,X,46433828,Island
cg00667781,II,X,53713885,S_Shore
cg00668426,I,X,102319340,S_Shore
cg00668694,II,X,7895511,Island
cg00673020,II,X,134049678,S_Shore
cg00673685,II,X,111699191,
cg00675244,II,X,55100096,
cg00679603,II,X,24691104,
cg00679726,II,X,118617111,S_Shore
cg00680081,I,X,79590905,Island
cg00680673,I,X,48815747,Island
cg00685229,I,X,118828778,S_Shore
cg00685925,I,X,48398048,Island
cg00688681,I,X,53030043,Island
cg00690049,II,X,54834244,N_Shore
cg00692892,II,X,150861833,N_Shore
cg00694968,II,X,113997817,
